Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
			työntää | tunkea väkisin			
			olla ahdasta			
			ahdistaa henkeä			
			pakottaa			
v	ahistua	ahistua	ahdistua | puristua	pigistus		
adj	ahkera | ah̭kera	ahkera	ahkera			
n	ahl'e [Ro]	ahl'e [Ro]	?			ahl'es̆sa kütkesse [Ro]
n	ahmari | ah̭mari	ahmari	?			ah̭nastā sǖ̮vvä, se on nīn ah̭mari
v	ahmastā	ahmastaa	?			se ku ahmasti sȫ̭vvä — söi kovasti
v	ahmia	ahmia	ahmia			
n	ahmo	ahmo	ahne			
v	ah̭mostā	ahmostaa	haluaa ahneesti itselleen			
adj	ahnaZ | ah̆naZ	ahnaz	ahkera työhön			
			"halukas | ahkera ""(*esim. viinaan)"""			
v	ahnastā	ahnastaa	olla halukas | himoita			
n	aho	aho	aho			
			heinittynyt pelto tai sen osa			
n	ahoZ	ahoz	ahdos			
v	ahtā	ahtaa	ahtaa riihtä			
			panna verkot riihenparsille kuivamaan			
n	ahtahoZ	ahtahoz	ahdos			
n	ahtahuZ	ahtahuz	ahtaus			
n	ahteri	ahteri	?			aluksen ahteri — laivan perä
n	ahven | ahvani | ahvəni	ahven | ahvani | ahvəni	ahven			
int	ai	ai	?			
n	aiDa	aita	aita			
adv	aiGa	aika	?			se oli aiGa, aiGa puk̆kāri poiGa oli sè, poiGa mī̬Z oli ja - -
n	aiGa	aika	aika			
adj	aiGahīn	aikahiin	aikainen			
adv	aiGaĭZē	aikaisee	aikaiseen			
adj	aiGaĭZēmB	aikaiseemb	aikaisempi			
n	aijas	aijas	?		Zaunpfahl	
v	aĭj̆joittā	aijjoittaa	aidoittaa			
adj	aik̀ain	aikain	?			sē kaskā (= tarina) ei olD        miun͜ aik̀ain (= minun aikainen) enämpǟ näiDä
v	aikkā	aikkaa	valittaa ai ai			
n	aikko [Nar]	aikko [Nar]	haukotus			
int	ai͜ koi | aikoi	ai koi | aikoi	?			(Ahavoituneet huulet voideltiin sianrasvalla:) ai͜ koi pehmittǟ hüväst. miul on ai͜ koi hüväD oloD (!). ne oltī ai͜ koi maDalas si̮l rannaZ (nim. rysät). siZ Gu siGa kazvoĭ sūreksE, ai͜ koi sūreks ja lihavaksE (sitten tapettiin). se on aikoi poik̀ā!
n	ailaZ	ailaz	?			
adj	aima	aima	pelkkä			
adv	aimastā	aimastaa	ainoastaan			
adv	ain | a∙in | a:in	ain | aain	aina			
adv	ainak̆ki | ainakkì | ainak̆kī | ainaki [L-suu]	ainakki | ainakkii | ainaki [L-suu]	ainakin			
adj	ainava | a∙inava [Kurkola] | aivono	ainava | aivono	ainoa			
n	airo	airo	airo			
n	aiZa | aiža [Ylä-L] | aisa [Kurkola]	aisa | aiža [Ylä-L]	aisa	ais		
			verkkokävyn*1			*1: aiZaD [Väärinoja] —ovat kävyn kielen kahden puolen olevat ohuet puuosat
n	aisakello [L-suu]	aisakello [L-suu]	aisaan kiinnitetty pieni kello			
n	aisarauta [L-suu]	aisarauta [L-suu]	reen jalaksessa oleva aisan kiinnitysrauta			
n	aiZanahkain | aiZannahkain | aisannahka [Uusikylä]	aisanahkain | aisannahkain | aisannahka [Uusikylä]	setolkkahihna, joka kannattaa aisoja | aisojen kannatinhihna			
n	aitta	aitta	aitta			
n	aiva | aivo	aiva | aivo	aivo			
adv	aivan | aiven | aivah	aivan | aiven | aivah	aivan			
n	aivaZ | aivas | aivastais	aivaz | aivas | aivastais	aivastus			
			isku			
v	aivassella	aivassella	aivastelisin			
n	aivassuZ	aivassuz	aivastus			
v	aivassuttā	aivassuttaa	?			min̆nū₍a aivassutti
v	aivastā	aivastaa	aivastaa			
v	aivastaissa	aivastaissa	aivastaa			
adv	aiven | aivoin | aivoĭn	aiven | aivoin	aivan			
n	aivina	aivina	puhdistettu pellava			
adj, n	aivinain	aivinain	puhdistetusta pellavasta tehty			
int	aivoi	aivoi	voivoi			
int	aivoikkaa [Nar]	aivoikkaa [Nar]	ai, ai			
n	ajaDoZ	ajatoz	turvoksissa			
n	ajama	ajama	mätäs*1			*1: mükrän ajama [Uusikylä] — myyrän mätäs
v	ajattā	ajattaa	?			ajatti vatsan — turvotti
n	ajav͜ vḙ̄tto	ajav veetto	se, mikä vie turhan paljon aikaa			
v	aj̆jā | ajjā	ajjaa	ajaa hevosta			
			ajaa, kulkea hevosella			
			ajaa laivaa			
			ajaa | karkottaa			
			pyytää riistaa | kiinni			
			tuulesta | vedestä			
			ajaa karvaa			
			luoda kokoon			
			lyödä kortti			
			koota*1			"*1: vainajan muistopäivänä: tās pit'i suku kaikki aj̆jā kok̆kō [L-suu]; ajetā suimā — kutsutaan kylänkokoukseen"
n	ajo	ajo	?			meren ajo — veden rannalle ajama tavara
			hevosella suoritettu ajo			
n	ajokip̆pī₍ä	ajokippiiä	?			Sormiajoksesta: sūr kip̆pī₍ä  mok̆kōma ajokip̆pī₍ä tuli
n	ajopövvü	ajopövvü	pitkä turkki, jota ei varsinaisessa työssä käytetty, vaan matkoilla			
n	ajos [Ro]	ajos [Ro]	umbus			
n [pl]	ajut [Ro]	ajut [Ro]	pääaju			
int	ak	ak	?			ak siä paharutkain, tēt pillā! ak siä paharätti ku siä et kūntele! — tottele
n	akampala	akampala	suuri lumihiutale			
n	akka	akka	pärerahko			
			vanha nainen | mummo			
n	akkain	akkain	?	poole eideke		
nom	akkaja [Ro]	akkaja [Ro]	?	hakkaja, ettevõtlik mees		
n	ak̆kāna | aGana	akkaana | akana	akana			
n	akkimain	akkimain	hyväilysana			
n	akko	akko	pärepihti			
			verkonkorjausteline			
n	aktjōri	aktjoori	pahantekijä			
n	aktsīZ	aktsiiz	tullimaksu			
			aksiisi			
n	aktsīZnoĭ	aktsiisnoi	viinan tarkastaja			
postp	al | alla | nal | ал	al | alla | nal | аl	alla			
n	ala-	ala-	ala-			
n	ala	ala	?			Sananparsi: kat̆tērīna kuZi₍ala — Katriinan päivänä sataa
n	aлahain [Ro]	alahain [Ro]	?	jõe alajooksul elavaid		
adv	alahāl	alahaal	alhaalla			
adv	alahalle | alahalek [Hev]	alahalle | alahalek [Hev]	?		nach unten	
adv	alahittē	alahittee	alaitse			
adv	alait̀se | alait̀si | alait̀s͔e | alaits͔e | ala(i)ts | ałatši | alait̀sE | alaitse [L-suu] | alaitsi [L-suu] | alatsE [Kurkola]	alaitse | alaitsi | alaits | alats | alatši | alaitsE | alatsE [Kurkola]	alitse			
adv	alaitsek	alaitsek	?		unten vorbei	
adv, postp	alak | allak [Hev] | ala [Nar]	alak | allak [Hev] | ala [Nar]	?		nach unten	
n	alajᵘōksu	alajooksu | alajuoksu	tuuli, joka hangen pintaa pitkin kulkiessaan kuljettaa lunta mukanaan			
adj	alakuloine	alakuloine	alakuloinen			
n	alameri	alameri	alkoi			
n	alanen	alanen	alasin			
nom	alanikko	alanikko	?		niedriger Ort	"alanikko mā — alava maa; koDi₍alanikko —erään metsän nimi; alanikko notko t. mā [Kurkola] — alava"
n	alanneh	alanneh	?		ein niedrig gel(i)egener Ort	
n	aлaηgumā [Ro]	alangumaa [Ro]	?	madalik		
n	alaselüs [L-suu]	alaselüs [L-suu]	verkon alapaula			
adv, conj	alaZ	alaz	alas			
n	alasparZi [Hev]	alasparsi [Hev]	riihen parsi			
adv	alaspäin | alas päin	alaspäin | alas päin	alaspäin			
adv	alassin | aлassi | alas̆si [Ro]	alassin | alassi	alasti			
adv	alassoillē	alassoillee	alassuin			
adj	alastoĭn	alastoin	alaston			
n	alaznḙ̄gla	alazneegla	"neula, jolla ""alaset"" neulottiin"			
n	alaZvāhto	alasvaahto	tuisku | lumin tuiskuaminen pitkin jäätä | peltoa			
n	alaZvirDa	alasvirta	myötävirta			
adv	alatsi [Ro]	alatsi [Ro]	?	alt läbi		
adv	alattuisē	alattuisee	alinomaa			
adv, postp	alD	ald	alta			
n	alDo	alto	aalto			
			laine			
v	aleDa	aleta	?			(Madon luvusta) a siä lippaist inmīZen lihutta, al̆lēne elä ül̆lēne, par̆rēne elä pah̭̆h̭ēne!
			"huonontua | tyyntyä ""(tuulesta)"""			
adj	alemBain	alempain	alimmainen			
adj	alemBi	alempi	?			"alemmaZ — alemmas; alemppaa [Hev] — alempaa"
v	alenDā	alentaa	laskea alemmas			
v	alGeDa	alketa	raueta			
			?			ilma ałkkenō — asettuu
n	alGu	alku	alku			
n	alileuGa	alileuka	alahuuli			
n [pl]	aliripsuD	aliripsud	alaluomet			
adj	alimain	alimain	alimainen			
v	alkā | alk̀ā | aлga [Ylä-L]	alkaa | alga [Ylä-L]	alkaa			
v	alkkene-	alkkene-	raueta			
			?			ilma ałkkenō — asettuu
v	alkua | alGua | aлgua [Ylä-L]	alkua | algua [Ylä-L]	alkaa			
v	alku-	alku-	?		anfangen	
pr n	Alkus	Alkus	Alava			
postp	alla | allāη	alla | allaan	?			miun ikkun͜ allāη (= pihallani) kazvā pihlaja, hǟ nokkī tikka siinä
			alle			
adj	al̆lain	allain	alainen			
			Palveluksessa olosta			
n	al̆lain | aллain [Ylä-L]	allain	alasin			
			kannattajahirsi			
			?			pai₍an alaset [Uusikylä] — entisajan paidan alaosa
			villaiset kintaat, joita pidettiin nahkarukkasissa	?		"aллais̆t [Ylä-L] — labakindad [vir]; alasii [Kurkola] — käpikkindaid [vir]"
n	alaine [L-suu]	alaine [L-suu]	alasin pajassa			
n	al̆laiZin	allaisin	alasin			
postp	allak	allak	alle			
n	allaZ | aллaš [Ylä-L]	allaz | allaš [Ylä-L]	kaukalo			
adv	al̆lā | allaan [Hev]	allaa | allaan [Hev]	alas			
adv, postp, prep	alle | allesse | ałłe	alle | allesse | alle	alle			
int	alle [Nar]	alle [Nar]	erään linnun ääni			
n	allekkain [Nar]	allekkain [Nar]	allit			
adv	allēssa	alleessa	tallessa | säilyneenä | ehjänä			
adj	alloGaZ	allokaz	aaltoisa*1			*1: alloGaZ meri — aaltoisa meri
v	aloittā	aloittaa	aloittaa			
v	altossa	altossa	lainehtia			
n	alttari	alttari	alttari			
v	aluDella	alutella	?		anfangen	
n	aluDoZ	alutoz	?			"verGon aluDoZ — verkon alku kudottaessa; kertā kolmē kümmenē teiD — silmiä verkkoa alustaessa"
			alaskintaan t. sukan suu, teen yhteydessä | sukka alettiin			
n	aluhame	aluhame	alushame			
n	aluhūli	aluhuuli	alahuuli			
n	alulaiDa	alulaita	lähinnä vettä oleva laivan, veneen kylki, l:n, v:n ollessa kallellaan			
n	aluot̀sa	aluotsa	alapää			
n	alupō̭li	alupooli	?			koilD (= talosta) vast on alupō̭l vō̭riDettu — vuorattu
n	aluverkko	aluverkko	nuotan perän alaosa			
adj	alumain	alumain	alimmainen			
n	aluZ	aluz	vaateen vuori | alushame			
			makuualus | makuukuivike			
			alus*1			"*1: kaDon alukseD. (Keväällä tulvaveden aikana) sis käütī av̆vāmas kaik sillan aluksia auG. (Hevosen) kaBjan aluksed tul̆lōt taZaiZekse, lauDajalaD, ei sā ravvoittā. (Vilustumiseen) jalan alukseD voi₍ettī si₍arrazval sis kiukān seläl polDelDī - -. | laGan aluZ — riihen räystäskatoksen alus. Usein oli kaksi isoa lakanalusta. Niissä pidettiin pellolta tuotu kuiva vilja. Kuominan ympärillä ei ollut lakanalusta. ar̆rīnan aluZ — uunimainen syveenys kiukaan; uunin jalkaosassa. | enne oltī kiukān alukseD. | ikkunan͜ aluZ om märänD — ikkunan alus on mädäntynyt. | laGan₍alukseD — puukatokset. mäen₍aluZ"
			laiva*1			*1: ennen purjelaiva, n. 10 tonnin tai suurempi, joita olivat
n	alushame [L-suu]	alushame [L-suu]	alushame*1			*1: Entisiä kotikutoisia hameita ruvettiin viimeisinä aikoina pitämään alushameina
n	alusherZi	alushersi	rakennuksen alimmainen hirsikerta			
n	aluZmaja	alusmaja	?		Kajüte	
n	aluZmḙ̄Z	alusmeez	laivan, kaljaasin omistaja | laivan rakentaja			
n	alustreηki [Kurkola]	alustrenki [Kurkola]	palkattu laivamies			
n	alusvene [Kurkola]	alusvene [Kurkola]	laivavene			
v	alustaa	alustaa	taikinaa | alusta			
v	alutta- | aluttele-	alutta- | aluttele-	aloittaa		anfangen	
n	alve	alve	vatsamato | heisimato			
int	amin | ami·n	amin	aamen			
n	ammattel̆līja	ammattellija	?			hǟ on seGalain ammattel̆līja — ammattityömiestä hieman korkeammassa asemassa oleva henkilö, myyjä, pikkuvirkamies jne
n	ammatti	ammatti	ammatti			
n	ammattimḙ̄Z	ammattimeez	ammattimies			
n	"ammi ""Ei tuntenut Saarovesta"""	"ammi ""Ei tuntenut Saarovesta"""	puinen, iso vesiastia			
adv	ammillā	ammillaa	ammollaan			
v	ammottā [Nar]	ammottaa [Nar]	tapan			
v	ammulDā	ammultaa	ammentaa			
n	ammuZ	ammuz	?	?	?	äkki-ammuZ — äkkiä tuleva taudinkohtaus | ammukset [Ro] — rabandus [vir] | olla(k) ammuksis — eine Thierkrankheit haben [saks]
n	ampari	ampari	?	?		pit́t́ä h́eińä panda ambari̯n [Ylä-L] — tuleb panna hein küüni [vir]
v	ampua | amp̀ua | amBua	ampua	ampua			
			"iskeä ""(ukkosesta)"""			
			?			ammuĭh hänelt tuBakkā — pyysin, kysyin
adj	andeligas [Ylä-L]	andeligas [Ylä-L]	?		freigebig	
n	anDi | antī	anti | antii	arvannosto sotaväkeen menoa varten			
pr n	Andrē	Andree	Andrej			
n	aηGeriaZ | aηGriaZ | aηGereZ | aηgaria [L-suu] | aηkerja [Pärspää] | aηkere [Ro]	ankeriaz | ankriaz | ankerez | angaria [L-suu] | ankerja [Pärspää] | ankere [Ro]	ankerias	angerjas		
n	ańiś	an'is'	aniskasvi			
pr n	AnissĒ	AnissEE	Anisija			
n	aηkkuri	ankkuri	ankkuri	ankur		
pr n	Annu	Annu	Anna			
pr n	Annuška	Annuška	Anna			
n	an̮sa | an̆sa [Ro]	ansa	teeren ansa			
v	ansoi- | ansoittele-	ansoi- | ansoittele-	?		[run.] @ mit Schuhriemen versehen	
v	antā | ant̀ā	antaa	antaa			
			riihen antamisen yhteydessä			
			antaa lupa			
			?			"vettä tāz ant̀ā — t.s. sataa; (On puhe Välimataloista, joilla kalastetaan:) ne mat̆tālaD ant̀āt kovast hailia. kaksil lehmim pi₍ettī, hȫ̭ ant̀oiD mait̆toa | hǖ̬ ant̆toiD mait̆to₍ak̆kī paljo lehmäD"
			?	?		anDoĭ kättä — tervehti kädestä. tās kaiGille kättä antā jällē | hǟ miulle kättä anDoĭ I miä hänelle mäniη kättä anDamā (paennut vävy unessa) || teDri hüppäĭs ta mäni, hǟks se miule kīn antā || miul enempǟ ǟn͜ eı anna — en voi laulaa. a sīz mǖ̬ olemma jälessä ja nō̭ttia enempǟ noiZ (= rupea) anDamā. (Pääsiäiseen mentäessä pyydettiin anteeksi naapureilta:) voD nüD mǖ̬ mǟmmä sūrē püh̭̆h̭ä, anDaGā nüD ant̀īks. ku oDan notkiav vits͔an kät̆tē, miä annav vit̀s͔ā. vit̀s͔āl annettī ain peiDettävöiDä — lyötiin vitsalla. hǟ kaiG lapselle antā periks | miä annoĭn tīDä (= ilmoitin) hänelle jot tul̆līs tänne. antā nīj̆jen haililoiη kḙ̄hua | väl'iž vitša andoi [Ylä-L] — vahel andis vitsa [vir]
adv	antīks | ant̀iikse | ant̀iiks	antiiks | antiikse	anteeksi			
v	antissa | antīssa	antissa | antiissa	antaa periksi | antautua			
			pehmetä | esim. raudasta | savimaasta | raakanahasta jne. puhuen			
n	anttikristuZ	anttikristuz	anttikristus			
			[Ro] @ valekristus			
n	antura	antura	(aluksen) köli			
n	aparaverkko [L-suu]	aparaverkko [L-suu]	pieni käsiverkko, jonka toinen pää on kiinnitetty seipääseen ja pantu pohjaan kiinni			
n	ap̆pāja	appaaja	nuotanvetopaikka			
n	ap̄porkka | ap̄porGa | ap̆porkka | ap̆porGa 	apporkka | apporka	saappaan terä			
n	ap̄pòsteli | ap̄pōstoli	apposteli | appoostoli	apostoli			
n	apreli	apreli	huhtikuu			
n	arappi	arappi	murjaani			
v	arassella	arassella	tehdä araksi			
n	arassoZ	arassoz	?			kem pḙ̄nēn͜ on arassokseZ, se ik̆kǟhǟ kaik hervijǟ pelkää
v	arassuDella	arassutella	tehdä araksi | pelätellä			
v	arastua	arastua	arastua			
n	arBa	arpa	arpa			
			talon (pelto-t.) niittyosuus, joka arvalla vuosittain saatiin kylän yhteisten peltojen t. niittyen jaossa			
n	arBi	arpi	arpi			
n	arBūZi	arpuusi	arbuusi			
v	areDa	areta	tulla areksi			
v	aressoittā	aressoittaa	tehdä paastoruoka arkiseksi			
n	aresti	aresti	aresti			
v	arestoittā	arestoittaa	panna putkaan			
n	arGa	arka	arka			
adj	arGalō̭nt̀oin	arkaloontoin	arkaluonteinen			
n	arGi	arki	?			tek̆kȫ tȫ̭Dä areD ja pühäD ja aiη köühǟn ͜on. arkēn teh̭h̭ǟ tȫ̭Dä, püh̆hǟh̭ h̭ō̭₍aDā levätään | enZemässärGi | enZimässärGi | eZmessarGi — maanantai | toissärGi | toissarGi | toissarkēn — tiistai
			sellainen rouka, jota syödään paastottomana aikana			
n	arGipäivä	arkipäivä	arkipäivä			
adj	arGipäivänen	arkipäivänen	arkipäivänen			
n	arGirō̭Ga | arGirū̮ka | arGirū₍a	arkirooka | arkiruuka | arkiruua	paastottoman ajan ruoka			
n	arh̭h̭irei	arhhirei	arkkipiispa			
n	arh̭h̭itektori	arhhitektori	rakennusmestari			
pr n	Arhippa	Arhippa	Arhippa			
n	arho	arho	[? jokin]: rikkaruoho			
			"pehmeä, helposti katkeava, pieni- ja valkokukkainen kasvi, jota mm. syötettiin sialle ""(? Stellaria media)"""			
n	arkkana	arkkana	silmukka			
adj	armaDoĭn | armatoine [L-suu] | armoDoĭn | armotoin	armatoin | armatoine [L-suu] | armotoin | armotoin	orpo			
			liian*1			*1: armaDoĭn sūr — liian suuri
v	armahtā	armahtaa	armahtaa			
adj	armaZ	armaz	hyvä | ystävällinen			
v	armastā [Nar]	armastaa [Nar]	rakasti | lempi			
n	aŕmekka	ar'mekka	jonkinlainen päälystakki | kauhtana			
n	armekki	armekki	kauhtana			
n	armimain	armimain	?		[in Poesie] @ Liebchen	
nom	armio	armio	?			Itkuvirrestä: miä veD lāhin sin̆nù₍a soDoitḙ̄lle soriDelDusēn, lā₍in armion aviks akkimaisēn
n	armo	armo	armo			
adj	armollīn | ar̆mol̆line [Ro]	armolliin | armolline [Ro]	arka | pelokas	armulik		
adj	armullīn | h̭armulij	armulliin | harmulij	armas*1			*1: ah̭ ͜ h̭armulij jum̆māla kuiη kovast tūlō! — ah armas jumala!
v	aroĭttā	aroittaa	aroittaa | pelättää			
n	arpoja [Hev] | arpuja	arpoja [Hev] | arpuja	[?] [run.] @ noita			
v	arpoja	arpoja	jakaa niittyjä osuuksiin			
n	arpuli	arpuli	[Väärinoja] [run.] @ henkilö, joka katsoi kortista, mikä vika oli | unien selittäjä		Zauberer	
n	ar̆rīna | arina | arinal [Nar] | arin	arriina | arina | arinal [Nar] | arin	uunin suun | arinan, hellan päällys	ahjusuu		
			[Nar] @ hiilloksen kohta			
			[Väärinoja] @ kiukaan liesi, johon hiilet ja tuhka vedettiin uunista			
			muuan tasainen paikka Saaroven Krevan mäellä			
n	ar̆rīna | arina [Väärinoja] [Kurkola]	arriina | arina [Väärinoja] [Kurkola]	ahrain			
pr n	Arssē	Arssee	?			
n	arssina | ars͔s͔ina [Hev] | arzina [Hev] | arššina [L-suu] | aršina [Nar]	arssina | arzina [Hev] | arššina [L-suu] | aršina [Nar]	arssina			
			[L-suu] @ kyynärämitta			
pr n	Arttamona	Arttamona	?			
n	artteli | arttali [L-suu]	artteli | arttali [L-suu]	kalastusvenekunta, tav. n. 6-7 miestä | nuottayhtiö			
n	arttuśśi	arttus's'i	peruna			
v	arvaDa	arvata	arvata			
			arvioida			
			ymmärtää			
			selittää			
			laskea lukua, rahaa			
nom	arvaavalliin	arvaavalliin	?		wer gut errathen kann	
n	arvo | ar̆vo	arvo	ymmärrys	aru		
			arvo			
adj	arvoGaZ | arvoGas | arvokaz  [L-suu]	arvokaz | arvokas	ymmärtävä | älykäs | ymmärtäväinen			
			arvokas			
			?			arvokkāD inmīst — hyvästi käyttäytyvät, joista paikkakuntalaiset pitävät. on inmīηk̆ki arvoGaZ ni ͜ Gu sellain oZajā hüväst it̀sijǟ käüttǟ ja el̆lǟ hüväst
v	arvoĭDella	arvoitella	arvautella			
n	arvoĭDoZ	arvoitoz	arvoitus	mõistatus		
adj	arvoin	arvoin	?			pahan arvoin — huono. vāttīD om pahan arvoist
v	arvoĭttā	arvoittaa	arvauttaa			
adv	arvoit̆tē	arvoittee	?			heinämā kaiG ja₍ettī arvoit̆tē — arpomalla, arvalla
v	arvoja	arvoja	?			[run.]: (miun ehtoĭZa em̆moin) kaiG lāDi lakkapūlle, miun aijoĭlle aZetti, ajoĭ tūlDa tunDomā, ahavoja arvoĭmā
adj	arvollīn	arvolliin	ymmärtäväinen			
int	as	as	ah			
n	aspukka | azbukka	aspukka | azbukka	aapinen			
postp	asse | assek [Hev] | ašš [Ylä-L]	asse | assek [Hev] | ašš [Ylä-L]	asti | saakka			
n	as̆sīa | as̆sia | aZi₍ā	assiia | assia | asiaa	asia | homma | työ | työkalu			
v	as̆sū₍a | as̆sù₍a	assuua | assua	?			hǟ as̆sū käǖv̆vä meil joGa päivä — on tapana käydä
			asua			
postp	ast | as	ast | as	asse			
n	astava | astuva [Hev] [Kurkola] [Ro] | as͔tua [Hev] | ast'iva [L-suu]	astava | astuva [Hev] [Kurkola] [Ro] | astua [Hev] | ast'iva [L-suu]	karhi | äes	äke	Egge	
			?			astavav veDi — tyhjän (kosimis)matkan teki. se poiGa kolD astavā veDi — sai kolmet rukkaset kosiessaan | vet̆tǟ astavā — saa rukkaset
n	astarga	astarga	ahrain			
v	astavoija | astăvoija | astavoittā | ast'ivoittā [L-suu] | ast'evoittā [Ro] | astuvoi- [Hev] [Ro]	astavoija | astavoija | astavoittaa | ast'ivoittaa [L-suu] | ast'evoittaa [Ro] | astuvoi- [Hev] [Ro]	äestää | karhita		eggen	
n	asterka [Ro] | astrega [Ro]	asterka [Ro] | astrega [Ro]	ahingas			
n	astia	astia	astia			
adv	ast'ēs̆sa [Ro]	ast'eessa [Ro]	?	astjasse | nõusse		
v	astua [Ylä-L]	astua [Ylä-L]	?			aštu — astuda, aššu — astu
n	azbukki	azbukki	aapiskirja			
v	aZettā | aset̆tā [Ro]	asettaa	asettaa			
			pysäyttää			
			peittää jyvät äestämällä			
			?	rahustada		Härkä temmelsi karjassa: paimenem piDi männä ain aZettam̆mā [Ro]
v	asettai- [Hev]	asettai- [Hev]	?		sich stellen	
v	aZettua	asettua	?			tūli aZettū — tyyntyy | särGi hammast: lūn (= luvun) tīZi joD luGi pǟlle joD aZettuĭ hammassärky | laps aZettuĭ makkama
			asettua yhteen kohtaan			
n	azra	azra	ahrain			
n	aZu | as̆su	asu | assu	työase | työkalu			
			kaljaasi			
n	asuηkera [Ro]	asunkera [Ro]	?	tarberiistaga		
n	aZunikka	asunikka	asukki			
n [pl]	atškaD	atškad	silmälasit			
n	at̆tāmāni	attaamaani	"johtaja ""(esim. poikasakin)"""			
adv	auGi | auG | auk | auki [L-suu] [Ro]	auki | auk	auki			
adj	auGinain	aukinain	avonainen			
n	auGusti(kū)	aukusti | aukustikuu	elokuu			
adj	aukka	aukka	liian antelias			
n	aukku | aukko [Nar] [L-suu]	aukku | aukko [Nar] [L-suu]	aukko			
n	auriηGo [L-suu]	aurinko [L-suu]	aurinko			
v	aŭv̆veDa	auvveta	[run.] @ aueta			
v	avaDa	avata	avata			
v	ava₍ella	avaella	availla			
v	avahtua [L-suu]	avahtua [L-suu]	havahtua | herätä			
v	avahua	avahua	avautua			
n	avanDo	avanto	avanto			
v	avaroittā	avaroittaa	tehdä tilavaksi | suurentaa			
v	avittā | avitta- | avuttā	avittaa | avitta- | avuttaa	auttaa		helfen	
v	avittammaa	avittammaa	auttaa		helfen	
nom	avo	avo	avoinna			
n, nom	avohia | hia avoBǟ	avohia | hia avopää	avopää			
n	avomeri	avomeri	avomeri			
nom	avoiZū | avoi ͜ Zū	avoisuu | avoi suu	avosuu			
adj	avonain	avonain	?			avonaim meri
adv	avo·ϑś | avoś	avos'	ehkä			
n	av̆vain	avvain	avain			
adj	av̆vāro	avvaaro	tilava | avara			
pr n	Ābrama	Aabrama	Aabraham			
n	āDa | āda [Ro]	aata | aada [Ro]	helvetti	põrgu		
pr n	ĀDo | Āto	Aato	Aatami			
v	āDuttā	aatuttaa	totuttaa			
n	āGentti	aakentti	agentti			
n	āglitsina	aaglitsina	englantilainen			
n	āloĭ	aaloi	vaalean punainen			
int	āmen | aamen	aamen	?			olkaa aamen — olkoon lopussa
